,Reagent,Solvent,Additive,Reagent_equiv,AdditiveLoading,Temperature,Stage,f,f_best,Round,method,target,target_value,target_f
0,DBDMH,DMC,sulfuric acid,1.0,13.0,20.0,2,68.575,68.575,34,BO,,,
1,NBS,MeCN,water,1.1249999999999996,19.0,35.0,2,40.2337,68.575,34,BO,,,
2,NBS,DMC,hydrochloric acid,1.1249999999999996,1.0,15.0,5,81.2263,81.2263,34,BO,,,
3,DBDMH,MeCN,phosphoric acid,1.2499999999999991,19.0,20.0,3,53.0793,81.2263,34,BO,,,
4,DBDMH,DMC,phenylphosphonic acid,1.374999999999999,25.0,25.0,4,51.3103,81.2263,34,BO,,,
5,NBS,MeCN,acetic acid,1.2499999999999991,13.0,5.0,4,7.2339,81.2263,34,BO,,,
6,NBS,DMC,lactic acid,1.4999999999999982,7.0,15.0,1,78.9359,81.2263,34,BO,,,
7,DBDMH,MeCN,picolinic acid,1.374999999999999,7.0,25.0,3,15.8665,81.2263,34,BO,,,
8,NBS,DMC,hydrochloric acid,1.1124999999999996,1.0,15.0,5,79.1558,81.2263,34,BO,EI,0.17992261669727452,83.81740971950833
9,NBS,DMC,hydrochloric acid,1.2124999999999992,1.0,15.0,5,80.7736,81.2263,34,BO,EI,0.40369701643771905,86.62822041870814
10,NBS,DMC,sulfuric acid,1.299999999999999,3.5,15.0,3,85.3123,85.3123,34,BO,EI,0.23013314160309595,84.4869473043524
11,NBS,DMC,sulfuric acid,1.4874999999999983,3.0,25.0,1,80.9963,85.3123,34,BO,EI,0.242726043317679,88.10104984614506
12,NBS,DMC,hydrochloric acid,1.299999999999999,8.5,5.0,2,68.9093,85.3123,34,BO,EI,0.23779332976072554,88.04924245404857
13,NBS,DMC,sulfuric acid,1.262499999999999,1.0,35.0,4,82.798,85.3123,34,BO,EI,0.2281277450032018,87.94716121319996
14,NBS,DMC,picolinic acid,1.0,1.0,20.0,1,76.4951,85.3123,34,BO,EI,0.2070630192901238,87.72208154768511
15,NBS,DMC,sulfuric acid,1.4999999999999982,1.0,15.0,5,81.1177,85.3123,34,BO,EI,0.19782675424969454,87.62225576268418
16,NBS,DMC,sulfuric acid,1.1874999999999993,17.0,30.0,3,52.6533,85.3123,34,BO,EI,0.16652191273591335,87.27871612244773
17,NBS,DMC,sulfuric acid,1.4999999999999982,1.0,5.0,2,85.314,85.314,34,BO,EI,0.18928715315900657,87.52934021014993
18,NBS,DMC,sulfuric acid,1.3624999999999987,1.0,15.0,3,82.8488,85.314,34,BO,EI,0.15893346485657445,87.19573804632888
19,DBDMH,MeCN,sulfuric acid,1.0,25.0,5.0,1,83.02,85.314,34,BO,EI,0.16627628024769114,87.2774952328061
20,DBDMH,MeCN,hydrochloric acid,1.0,25.0,5.0,5,15.6788,85.314,34,BO,EI,0.18185157326099044,87.44943967277099
21,DBDMH,MeCN,lactic acid,1.0,25.0,5.0,1,18.3038,85.314,34,BO,EI,0.37092672855783926,89.38201890243828
22,NBS,DMC,sulfuric acid,1.4624999999999984,8.0,5.0,1,85.385,85.385,34,BO,EI,0.28747237674458886,88.56356554780245
23,DBDMH,MeCN,sulfuric acid,1.0,25.0,25.0,1,77.2036,85.385,34,BO,EI,0.24159432022864538,88.15004514386906
24,NBS,DMC,picolinic acid,1.4124999999999985,5.5,5.0,2,51.3316,85.385,34,BO,EI,0.23478598266457334,88.07874209009023
25,NBS,DMC,sulfuric acid,1.274999999999999,2.0,10.0,1,83.5981,85.385,34,BO,EI,0.2849175095263032,88.59516151992644
26,NBS,DMC,sulfuric acid,1.0749999999999997,3.5,20.0,5,78.3566,85.385,34,BO,EI,0.2785649932813227,88.53081729727546
27,NBS,DMC,acetic acid,1.4999999999999982,6.0,30.0,1,84.265,85.385,34,BO,EI,0.2847248536900429,88.59321475458701
28,NBS,DMC,acetic acid,1.4999999999999982,16.0,25.0,1,84.1696,85.385,34,BO,EI,0.22651375197806495,87.99160892097959
29,NBS,DMC,acetic acid,1.0749999999999997,10.0,30.0,1,75.3458,85.385,34,BO,EI,0.2126931391598918,87.84480664821596
30,DBDMH,MeCN,sulfuric acid,1.4999999999999982,25.0,5.0,1,67.4109,85.385,34,BO,EI,0.20755807161990245,87.78986926403643
31,NBS,DMC,hydrochloric acid,1.3999999999999986,1.0,35.0,5,83.503,85.385,34,BO,EI,0.19964003331763677,87.70473948818908
32,NBS,DMC,hydrochloric acid,1.0125,1.0,35.0,3,67.2448,85.385,34,BO,EI,0.19777641955273786,87.68462903512018
33,NBS,DMC,sulfuric acid,1.4999999999999982,4.0,35.0,5,80.8592,85.385,34,BO,EI,0.18387866814880235,87.53376386258279
