,Reagent,Solvent,Additive,Reagent_equiv,AdditiveLoading,Temperature,Stage,f,f_best,Round,method,target,target_value,target_f
0,DBDMH,DMC,sulfuric acid,1.0,13.0,20.0,2,81.3025,81.3025,1,BO,,,
1,NBS,MeCN,water,1.1249999999999996,19.0,35.0,2,40.5682,81.3025,2,BO,,,
2,NBS,DMC,hydrochloric acid,1.1249999999999996,1.0,15.0,5,79.6558,81.3025,3,BO,,,
3,DBDMH,MeCN,phosphoric acid,1.2499999999999991,19.0,20.0,3,78.2871,81.3025,4,BO,,,
4,DBDMH,DMC,phenylphosphonic acid,1.374999999999999,25.0,25.0,4,59.1626,81.3025,5,BO,,,
5,NBS,MeCN,acetic acid,1.2499999999999991,13.0,5.0,4,10.5497,81.3025,6,BO,,,
6,NBS,DMC,lactic acid,1.4999999999999982,7.0,15.0,1,84.7807,84.7807,7,BO,,,
7,DBDMH,MeCN,picolinic acid,1.374999999999999,7.0,25.0,3,15.4299,84.7807,8,BO,,,
8,NBS,DMC,lactic acid,1.4874999999999983,7.0,15.0,1,83.9325,84.7807,9,BO,EI,0.19899075129250926,87.17469939604403
9,DBDMH,DMC,water,1.3749999999999987,9.5,10.0,5,37.6468,84.7807,10,BO,,,
10,NBS,DMC,acetic acid,1.4999999999999982,5.5,20.0,2,80.7726,84.7807,11,BO,UCB,3.2854650888820176,96.39267978486514
11,NBS,DMC,acetic acid,1.4999999999999982,11.0,20.0,1,84.6654,84.7807,12,BO,EI,0.22107381455275166,87.4195770290529
12,NBS,DMC,lactic acid,1.4999999999999982,8.5,15.0,1,84.8687,84.8687,13,BO,PI,0.5391132046213637,53.911320462136366
13,DBDMH,MeCN,lactic acid,1.0,25.0,10.0,2,20.381,84.8687,14,BO,UCB,3.7122694736566038,97.61601817148791
14,NBS,DMC,phosphoric acid,1.4999999999999982,8.0,25.0,1,79.6207,84.8687,15,BO,EI,0.23943538290234576,87.6940945282201
15,NBS,DMC,acetic acid,1.4999999999999982,9.5,20.0,1,83.9332,84.8687,16,BO,PI,0.5693801083162164,56.938010831621646
16,DBDMH,MeCN,phenylphosphonic acid,1.4249999999999985,25.0,30.0,4,24.8471,84.8687,17,BO,UCB,3.680372482132124,97.54065085238267
17,NBS,DMC,lactic acid,1.4999999999999982,16.0,20.0,2,79.8139,84.8687,18,BO,EI,0.2320155832876078,87.61379916825558
18,NBS,DMC,acetic acid,1.4999999999999982,12.5,20.0,1,79.9253,84.8687,19,BO,PI,0.5633222074808675,56.33222074808675
19,NBS,DMC,picolinic acid,1.4999999999999982,10.5,15.0,3,79.0037,84.8687,20,BO,UCB,3.3758542772211095,96.69413401487876
20,NBS,DMC,lactic acid,1.262499999999999,10.5,20.0,2,80.8354,84.8687,21,BO,EI,0.22082897918930375,87.49189021849399
21,NBS,DMC,lactic acid,1.4999999999999982,10.0,20.0,2,84.062,84.8687,22,BO,PI,0.5274487224506013,52.74487224506012
22,DBDMH,MeCN,picolinic acid,1.3499999999999988,18.0,5.0,4,12.9872,84.8687,23,BO,UCB,3.4755898128412914,96.99851881372092
23,DBDMH,MeCN,picolinic acid,1.1124999999999996,19.0,25.0,2,19.1876,84.8687,24,BO,EI,0.2883899655905424,88.21271677080317
24,NBS,DMC,lactic acid,1.4999999999999982,9.0,20.0,1,78.9544,84.8687,25,BO,PI,0.5524099757698984,55.240997576989834
25,NBS,DMC,acetic acid,1.4999999999999982,9.0,5.0,2,50.8083,84.8687,26,BO,UCB,3.908832461936667,98.03307297487908
26,NBS,DMC,picolinic acid,1.4374999999999984,9.5,25.0,2,81.8725,84.8687,27,BO,EI,0.301705595297346,88.35046817666174
27,NBS,DMC,acetic acid,1.4999999999999982,9.0,15.0,1,73.0931,84.8687,28,BO,PI,0.7748672424204529,77.48672424204528
28,NBS,DMC,hydrochloric acid,1.4999999999999982,25.0,35.0,1,40.6998,84.8687,29,BO,UCB,4.105048695689407,98.37782677792168
29,NBS,DMC,phenylphosphonic acid,1.0,1.0,35.0,1,68.5457,84.8687,30,BO,EI,0.3540769443513978,88.87876448862099
30,NBS,DMC,phosphoric acid,1.4999999999999982,2.0,30.0,1,80.133,84.8687,31,BO,PI,0.38445023154058966,38.445023154058966
31,DBDMH,DMC,hydrochloric acid,1.0,1.0,5.0,1,19.6846,84.8687,32,BO,UCB,3.1479189684893605,95.88266450082227
32,NBS,DMC,phenylphosphonic acid,1.4624999999999984,4.0,15.0,1,79.2415,84.8687,33,BO,EI,0.39217104193072216,89.24976288275755
33,NBS,DMC,phosphoric acid,1.4624999999999984,9.0,20.0,2,81.7953,84.8687,34,BO,PI,0.48905466048149815,48.90546604814981
34,DBDMH,MeCN,acetic acid,1.3874999999999986,17.5,20.0,3,13.6341,84.8687,35,BO,UCB,3.618197561415999,97.38700971176193
35,NBS,DMC,acetic acid,1.4999999999999982,9.0,35.0,1,71.3734,84.8687,36,BO,EI,0.2272219997715432,87.56168523451423
36,NBS,DMC,phosphoric acid,1.4999999999999982,7.0,25.0,1,72.8344,84.8687,37,BO,PI,0.34327292551321853,34.327292551321854
37,NBS,DMC,sulfuric acid,1.4999999999999982,1.0,35.0,5,75.4343,84.8687,38,BO,UCB,3.0882436825478266,95.64051952931307
38,NBS,DMC,lactic acid,1.4999999999999982,6.5,30.0,1,75.6271,84.8687,39,BO,EI,0.15181776513937045,86.71691654155512
39,NBS,DMC,lactic acid,1.4999999999999982,8.0,25.0,1,78.8184,84.8687,40,BO,PI,0.30719649416614125,30.719649416614125
40,NBS,DMC,acetic acid,1.0,25.0,35.0,1,66.8443,84.8687,41,BO,UCB,2.9190849886145815,94.878185249759
41,NBS,DMC,lactic acid,1.4999999999999982,1.0,25.0,1,71.6308,84.8687,42,BO,EI,0.13363521581987267,86.50607578792741
42,NBS,DMC,phosphoric acid,1.4999999999999982,9.0,20.0,1,61.4172,84.8687,43,BO,PI,0.285062030441134,28.5062030441134
43,NBS,DMC,picolinic acid,1.0,1.0,35.0,5,59.1363,84.8687,44,BO,UCB,2.870124666325176,94.63496778993495
44,NBS,DMC,lactic acid,1.4999999999999982,9.0,25.0,1,75.6377,84.8687,45,BO,EI,0.1127762573819599,86.26072845273305
45,NBS,DMC,lactic acid,1.4999999999999982,8.5,25.0,1,78.9659,84.8687,46,BO,PI,0.26255996864647224,26.255996864647223
46,NBS,DMC,water,1.4999999999999982,1.0,35.0,1,64.3797,84.8687,47,BO,UCB,2.7869943977037157,94.19689662668628
47,NBS,DMC,lactic acid,1.4999999999999982,9.5,25.0,1,77.7987,84.8687,48,BO,EI,0.1016982405332885,86.12890810543293
